Date,Time,Sender,Message,Cleaned_Message,Polarity,Subjectivity,Sentiment,Emotion_Scores,Dominant_Emotion
04/04/2025,3:06,pm - Taco Bell,This business uses a secure service from Meta to manage this chat. Tap to learn more.,this business uses a secure service from meta to manage this chat tap to learn more,0.45,0.55,positive,"{'positive': 2, 'trust': 1}",positive
04/04/2025,3:06,pm - Taco Bell,"Your order at Taco Bell PMC Kurla Mumbai - Taco Bell yesterday earned you 1000 Bells, bringing your total to 2000 Bells.",your order at taco bell pmc kurla mumbai  taco bell yesterday earned you  bells bringing your total to  bells,0.0,0.75,neutral,{},fear
06/04/2025,4:30,pm - Taco Bell,"Hi Taco Bell lover, thank you for placing the order with Taco Bell. Your order is confirmed, and Order No. is 123, Please click the link https://klr.bz/POSIST/zXDuG to get the E-invoice. We will notify you once the food is ready!",hi taco bell lover thank you for placing the order with taco bell your order is confirmed and order no is  please click the link  to get the einvoice we will notify you once the food is ready,0.30000000000000004,0.75,positive,"{'anticipation': 2, 'joy': 2, 'positive': 3, 'trust': 3}",trust
06/04/2025,4:36,pm - Taco Bell,"Hello Taco Bell Lover, Your order No. 123 is ready, please pick it from the counter and enjoy your meal 😊 Also, share your experience and get an exciting surprise from Taco Bell. Please use unique survey ID mentioned on your E-Invoice.",hello taco bell lover your order no  is ready please pick it from the counter and enjoy your meal  emotion  also share your experience and get an exciting surprise from taco bell please use unique survey id mentioned on your einvoice,0.31875000000000003,0.7,positive,"{'anticipation': 5, 'joy': 5, 'positive': 7, 'trust': 3, 'surprise': 3, 'fear': 1}",positive
07/04/2025,3:00,pm - Taco Bell,"Your order at Taco Bell PMC Kurla Mumbai - Taco Bell yesterday earned you 1000 Bells, bringing your total to 3000 Bells.",your order at taco bell pmc kurla mumbai  taco bell yesterday earned you  bells bringing your total to  bells,0.0,0.75,neutral,{},fear
16/07/2025,3:35,pm - Taco Bell,"Hi Taco Bell lover, thank you for placing the order with Taco Bell. Your order is confirmed, and Order No. is 95, Please click the link https://klr.bz/POSIST/oXJiT to get the E-invoice. We will notify you once the food is ready!",hi taco bell lover thank you for placing the order with taco bell your order is confirmed and order no is  please click the link  to get the einvoice we will notify you once the food is ready,0.30000000000000004,0.75,positive,"{'anticipation': 2, 'joy': 2, 'positive': 3, 'trust': 3}",trust
16/07/2025,3:39,pm - Taco Bell,"Hi Taco Bell lover, thank you for placing the order with Taco Bell. Your order is confirmed, and Order No. is 98, Please click the link https://klr.bz/POSIST/caLiT to get the E-invoice. We will notify you once the food is ready!",hi taco bell lover thank you for placing the order with taco bell your order is confirmed and order no is  please click the link  to get the einvoice we will notify you once the food is ready,0.30000000000000004,0.75,positive,"{'anticipation': 2, 'joy': 2, 'positive': 3, 'trust': 3}",trust
16/07/2025,3:42,pm - Taco Bell,"Hello Taco Bell Lover, Your order No. 95 is ready, please pick it from the counter and enjoy your meal 😊",hello taco bell lover your order no  is ready please pick it from the counter and enjoy your meal  emotion,0.30000000000000004,0.5,positive,"{'anticipation': 3, 'joy': 2, 'positive': 3, 'trust': 2}",positive
16/07/2025,3:45,pm - Taco Bell,"Hello Taco Bell Lover, Your order No. 98 is ready, please pick it from the counter and enjoy your meal 😊",hello taco bell lover your order no  is ready please pick it from the counter and enjoy your meal  emotion,0.30000000000000004,0.5,positive,"{'anticipation': 3, 'joy': 2, 'positive': 3, 'trust': 2}",positive
21/08/2025,3:21,pm - Taco Bell,"Hi Taco Bell lover, thank you for placing the order with Taco Bell. Your order is confirmed, and Order No. is 60, Please click the link https://klr.bz/POSIST/girpX to get the E-invoice. We will notify you once the food is ready!",hi taco bell lover thank you for placing the order with taco bell your order is confirmed and order no is  please click the link  to get the einvoice we will notify you once the food is ready,0.30000000000000004,0.75,positive,"{'anticipation': 2, 'joy': 2, 'positive': 3, 'trust': 3}",trust
